year,date,tournament_id,tournament_name,match_name,stage,home_team,away_team,home_team_code,away_team_code,home_goals,away_goals,score,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,score_penalties,stadium,stadium_id,stadium_name,city,host_country,host_team,attendance,match_time,referee,notes
1954,1954-06-17,WC-1954,1954 FIFA World Cup,Hungary v South Korea,Group stage,Hungary,South Korea,HUN,KOR,9,0,9-0,home team win,1,0,no,no,no,0-0,Hardturm Stadium,S-181,Hardturm Stadium,Zürich,Switzerland,0.0,13000,18:00,Raymond Vincenti,
1954,1954-06-17,WC-1954,1954 FIFA World Cup,Switzerland v Italy,Group stage,Switzerland,Italy,CHE,ITA,2,1,2-1,home team win,1,0,no,no,no,0-0,Stade Olympique de la Pontaise,S-179,Stade Olympique de la Pontaise,Lausanne,Switzerland,1.0,43000,17:50,Mario Viana,
1954,1954-06-19,WC-1954,1954 FIFA World Cup,Austria v Czechoslovakia,Group stage,Austria,Czechoslovakia,AUT,CSK,5,0,5-0,home team win,1,0,no,no,no,0-0,Hardturm Stadium,S-181,Hardturm Stadium,Zürich,Switzerland,0.0,26000,17:00,Vasa Stefanovic,
1954,1954-06-19,WC-1954,1954 FIFA World Cup,Brazil v Yugoslavia,Group stage,Brazil,Yugoslavia,BRA,YUG,1,1,1-1,draw,0,0,yes,yes,no,0-0,Stade Olympique de la Pontaise,S-179,Stade Olympique de la Pontaise,Lausanne,Switzerland,0.0,24637,17:00,Charlie Faultless,Required Extra Time
1954,1954-06-19,WC-1954,1954 FIFA World Cup,France v Mexico,Group stage,France,Mexico,FRA,MEX,3,2,3-2,home team win,1,0,no,no,no,0-0,Charmilles Stadium,S-178,Charmilles Stadium,Geneva,Switzerland,0.0,19000,17:10,Manuel Asensi,
1954,1954-06-19,WC-1954,1954 FIFA World Cup,Uruguay v Scotland,Group stage,Uruguay,Scotland,URY,SCO,7,0,7-0,home team win,1,0,no,no,no,0-0,St. Jakob Stadium,S-176,St. Jakob Stadium,Basel,Switzerland,0.0,34000,16:50,Vincenzo Orlandini,
1954,1954-06-20,WC-1954,1954 FIFA World Cup,Italy v Belgium,Group stage,Italy,Belgium,ITA,BEL,4,1,4-1,home team win,1,0,no,no,no,0-0,Cornaredo Stadium,S-180,Cornaredo Stadium,Lugano,Switzerland,0.0,24000,17:00,Carl Steiner,
1954,1954-06-20,WC-1954,1954 FIFA World Cup,Turkey v South Korea,Group stage,Turkey,South Korea,TUR,KOR,7,0,7-0,home team win,1,0,no,no,no,0-0,Charmilles Stadium,S-178,Charmilles Stadium,Geneva,Switzerland,0.0,,17:00,,
1954,1954-06-23,WC-1954,1954 FIFA World Cup,Switzerland v Italy,Group stage,Switzerland,Italy,CHE,ITA,4,1,4-1,home team win,1,0,no,no,no,0-0,St. Jakob Stadium,S-176,St. Jakob Stadium,Basel,Switzerland,1.0,30000,18:00,Benjamin Griffiths,
1954,1954-06-26,WC-1954,1954 FIFA World Cup,Uruguay v England,Quarter-finals,Uruguay,England,URY,ENG,4,2,4-2,home team win,1,0,no,no,no,0-0,St. Jakob Stadium,S-176,St. Jakob Stadium,Basel,Switzerland,0.0,28000,17:00,Carl Steiner,
